类别,品名,规格,价格范围,平均价,涨跌,单位,日期
电解液,电解液,三元动力用,25800 ~ 32900,29350.0,0.0,元/吨,2026-07-01
电解液,电解液,铁锂储能用,23300 ~ 30100,26700.0,0.0,元/吨,2026-07-01
电解液,电解液,铁锂动力用,25800 ~ 31900,28850.0,0.0,元/吨,2026-07-01
电解液,电解液,磷酸铁锂用,23300 ~ 31900,27600.0,0.0,元/吨,2026-07-01
电解液,电解液,钴酸锂电解液（4.2V-4.4V）,25000 ~ 33000,29000.0,0.0,元/吨,2026-07-01
电解液,电解液,钴酸锂电解液（4.45V-4.48V）,30000 ~ 36000,33000.0,0.0,元/吨,2026-07-01
电解液,电解液,钴酸锂电解液（4.5V及以上）,45000 ~ 54000,49500.0,0.0,元/吨,2026-07-01
电解液,电解液,锰酸锂用,17900 ~ 25900,21900.0,0.0,元/吨,2026-07-01
锂化合物,六氟磷酸锂（国产）,LiPF₆≥99.95%,102000 ~ 105000,103500.0,0.0,元/吨,2026-07-01
锂化合物,SMM六氟磷酸锂指数,LiPF₆含量≥99.95%,97149 ~ 101114,99131.5,-2135.5,元/吨,2026-07-01
锂化合物,电池级氟化锂,LiF≥99.95%,265000 ~ 273000,269000.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸乙烯酯EC,电池级（送到成交价）,5500 ~ 5800,5650.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸丙烯酯PC,电池级（送到成交价）,7300 ~ 7700,7500.0,-150.0,元/吨,2026-07-01
溶剂及相关原料,碳酸甲乙酯EMC,电池级（送到成交价）,6500 ~ 6900,6700.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸二乙酯DEC,电池级（送到成交价）,8100 ~ 8600,8350.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸二甲酯DMC,电池级（送到成交价）,4600 ~ 5000,4800.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸二甲酯DMC,电池级（出厂价）,4000 ~ 4400,4200.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸二乙酯DEC,电池级（出厂价）,7600 ~ 8100,7850.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸甲乙酯EMC,电池级（出厂价）,6000 ~ 6400,6200.0,0.0,元/吨,2026-07-01
溶剂及相关原料,碳酸丙烯酯PC,电池级（出厂价）,6800 ~ 7100,6950.0,-150.0,元/吨,2026-07-01
溶剂及相关原料,碳酸乙烯酯EC,电池级（出厂价）,5000 ~ 5300,5150.0,0.0,元/吨,2026-07-01
溶剂及相关原料,环氧乙烷,-,6800 ~ 6800,6800.0,0.0,元/吨,2026-06-25
磷化工,五氯化磷,≥99.5%,7200 ~ 7400,7300.0,0.0,元/吨,2026-06-26
添加剂,碳酸亚乙烯酯VC,电池级,142000 ~ 167000,154500.0,0.0,元/吨,2026-07-01
添加剂,氟代碳酸乙烯酯FEC,电池级,59000 ~ 70000,64500.0,0.0,元/吨,2026-07-01
添加剂,双氟磺酰亚胺锂液料(折固),符合 T/SDIPSA 002-2025,80000 ~ 90000,85000.0,0.0,元/吨,2026-07-01
添加剂,双草酸硼酸锂LiBOB,电池级,150000 ~ 160000,155000.0,0.0,元/吨,2026-06-26
添加剂,二氟草酸硼酸锂LiODFB,电池级,160000 ~ 170000,165000.0,0.0,元/吨,2026-06-26
添加剂,硫酸乙烯酯DTD,电池级,60000 ~ 65000,62500.0,0.0,元/吨,2026-06-26
添加剂,双氟磺酰亚胺锂,LiFSI≥99.9%,146000 ~ 150000,148000.0,0.0,元/吨,2026-07-01
